                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5224,                 2.4938,                 1.3867,                0.75433,                0.19352,                0.24119,                0.13354,                 1.3964,                 3.3468,                 1.2228,             0.00065672,             0.00065672,             0.00065672
                      2,                 1.3951,                 1.8387,                 1.2373,                 0.6197,                 0.4916,                 0.5393,                0.29418,                  1.555,                 2.3937,                 1.3167,             0.00066831,             0.00066831,             0.00066831
